Term	Student	Subject	Score
1	1000	Math	95
1	1000	English	74
1	1000	Chinese	68
1	1001	Math	59
1	1001	English	88
1	1001	Chinese	46
1	1002	Math	61
1	1002	English	61
1	1002	Chinese	26
1	1003	Math	38
1	1003	English	84
1	1003	Chinese	71
1	1004	Math	62
1	1004	English	88
1	1004	Chinese	55
1	1005	Math	43
1	1005	English	81
1	1005	Chinese	40
1	1006	Math	41
1	1006	English	44
1	1006	Chinese	46
1	1007	Math	67
1	1007	English	68
1	1007	Chinese	100
1	1008	Math	36
1	1008	English	77
1	1008	Chinese	63
1	1009	Math	58
1	1009	English	53
1	1009	Chinese	69
1	1010	Math	39
1	1010	English	46
1	1010	Chinese	52
1	1011	Math	35
1	1011	English	69
1	1011	Chinese	89
1	1012	Math	44
1	1012	English	62
1	1012	Chinese	47
1	1013	Math	30
1	1013	English	78
1	1013	Chinese	62
1	1014	Math	36
1	1014	English	43
1	1014	Chinese	74
1	1015	Math	74
1	1015	English	68
1	1015	Chinese	50
1	1016	Math	39
1	1016	English	51
1	1016	Chinese	66
1	1017	Math	78
1	1017	English	72
1	1017	Chinese	56
1	1018	Math	95
1	1018	English	59
1	1018	Chinese	52
1	1019	Math	97
1	1019	English	81
1	1019	Chinese	46
1	1020	Math	52
1	1020	English	78
1	1020	Chinese	93
1	1021	Math	80
1	1021	English	70
1	1021	Chinese	83
1	1022	Math	22
1	1022	English	44
1	1022	Chinese	40
1	1023	Math	66
1	1023	English	58
1	1023	Chinese	45
1	1024	Math	60
1	1024	English	56
1	1024	Chinese	58
1	1025	Math	84
1	1025	English	60
1	1025	Chinese	37
1	1026	Math	88
1	1026	English	48
1	1026	Chinese	37
1	1027	Math	31
1	1027	English	92
1	1027	Chinese	38
1	1028	Math	68
1	1028	English	63
1	1028	Chinese	48
1	1029	Math	86
1	1029	English	69
1	1029	Chinese	38
1	1030	Math	65
1	1030	English	74
1	1030	Chinese	76
1	1031	Math	71
1	1031	English	85
1	1031	Chinese	65
1	1032	Math	51
1	1032	English	100
1	1032	Chinese	85
1	1033	Math	36
1	1033	English	43
1	1033	Chinese	36
1	1034	Math	63
1	1034	English	51
1	1034	Chinese	60
1	1035	Math	27
1	1035	English	87
1	1035	Chinese	52
1	1036	Math	60
1	1036	English	38
1	1036	Chinese	64
1	1037	Math	52
1	1037	English	78
1	1037	Chinese	39
1	1038	Math	100
1	1038	English	39
1	1038	Chinese	30
1	1039	Math	88
1	1039	English	39
1	1039	Chinese	59
1	1040	Math	40
1	1040	English	50
1	1040	Chinese	69
1	1041	Math	95
1	1041	English	88
1	1041	Chinese	39
1	1042	Math	52
1	1042	English	50
1	1042	Chinese	46
1	1043	Math	38
1	1043	English	100
1	1043	Chinese	70
1	1044	Math	35
1	1044	English	80
1	1044	Chinese	34
1	1045	Math	43
1	1045	English	99
1	1045	Chinese	45
1	1046	Math	68
1	1046	English	51
1	1046	Chinese	52
1	1047	Math	100
1	1047	English	59
1	1047	Chinese	58
1	1048	Math	68
1	1048	English	58
1	1048	Chinese	49
1	1049	Math	40
1	1049	English	72
1	1049	Chinese	66
1	1050	Math	58
1	1050	English	43
1	1050	Chinese	79
1	1051	Math	64
1	1051	English	58
1	1051	Chinese	84
1	1052	Math	44
1	1052	English	28
1	1052	Chinese	83
1	1053	Math	37
1	1053	English	44
1	1053	Chinese	41
1	1054	Math	94
1	1054	English	50
1	1054	Chinese	88
1	1055	Math	23
1	1055	English	41
1	1055	Chinese	45
1	1056	Math	73
